field,type,max_chars,description
CHTSOO01,text,8,"Identifies which device created the packet"
packet_length,unsigned_int,3,"the length of the packet (not including all characters up-to the comma which follows this number)"
utc_time,unsigned_int,10,"the valid time for this packet (usually 1 second behind actual time)"
dummytxt_1,text,2,"this is a dummy variable"
dummytxt_2,text,2,"this is a dummy variable"
flight_num,text,5,"indicates the flight number for this packet ( an ""empty"" string here indicates that the CRIO hasn't been assigned a flight number )"
concentration,double_float,14,"SO2 concentration in ppb"
pmt_volt,signed_int,10,"PMT voltage in volts"
lamp_volt,signed_int,10,"Lamp voltage in volts"
lamp_intens,signed_int,10,"Lamp intensity in Hz"
internal_temper,double_float,10,"Internal instrument temperature in degC"
react_temper,double_float,10,"Reaction chamber temperature in degC"
react_press,double_float,10,"Reaction chamber pressure in mmHg"
flow,double_float,10,"Sample flow in litres per minute"
flags,text,10,"Status of the device including alarms in 8 Hex digits"
ten_min_so2,double_float,11,"10 min moving average of SO2"
eight_hr_so2,double_float,11,"8 hour moving average"
ten_min_so2_alm,unsigned_int,1,"ten minute alarm"
eight_hr_so2_alm,unsigned_int,1,"eight hour alarm"
