field,type,max_chars,description
$TWBOZO01,text,8,Identifies which device created the packet - AMBIENT AIR MODE
packet_length,unsigned_int,3,the length of the packet (not including all characters up-to the comma which follows this number)
utc_time,unsigned_int,10,the valid time for this packet (usually 1 second behind actual time)
spare_1,text,1,
spare_2,text,1,
flight_num,text,5,"indicates the flight number for this packet ( an ""empty"" string here indicates that the CRIO hasn't been assigned a flight number )"
conc,single_float,8,Reading in signed decimal for Ozone Signal (ppb)
temp,single_float,5,Bench temperature (degC)
press,single_float,6,Absorption cell pressure reading (mb)
flow,single_float,5,Sample flow in cell (sccm)
